config,baseline_return,overlay_return,return_diff,baseline_maxdd,overlay_maxdd,maxdd_improvement,pct_time_in_cash,days_in_cash
VR(5/50) κ=2.0 +R5,414.5696118451325,219.67495590811086,-194.89465593702164,-29.332464614350407,-29.650755289718084,-0.3182906753676775,14.235190097259062,322
VR(5/100) κ=2.0 +R5,414.5696118451325,308.294374050398,-106.2752377947345,-29.332464614350407,-31.968941213188884,-2.6364765988384775,15.959328028293546,361
VR(10/100) κ=2.0 +R5,414.5696118451325,324.28970353766226,-90.27990830747024,-29.332464614350407,-28.024598956004287,1.3078656583461203,14.854111405835543,336
VR(20/100) κ=1.75 +R5,414.5696118451325,281.38747937671593,-133.18213246841657,-29.332464614350407,-21.489925784964008,7.842538829386399,19.27497789566755,436
VR(20/200) κ=2.0 +R5,414.5696118451325,185.16613784962348,-229.40347399550902,-29.332464614350407,-29.33246461435029,1.1723955140041653e-13,14.279398762157383,323
VR(5/100) κ=2.5 +R5,414.5696118451325,301.9249101483382,-112.6447016967943,-29.332464614350407,-32.557877536657486,-3.225412922307079,11.140583554376658,252
VR(5/50) κ=2.0 no filter,414.5696118451325,239.07054080103137,-175.49907104410113,-29.332464614350407,-28.723066255069046,0.6093983592813608,15.251989389920425,345
VR(10/50) κ=2.0 no filter,414.5696118451325,224.3698711194992,-190.1997407256333,-29.332464614350407,-32.87287072904168,-3.5404061146912724,15.605658709106985,353
200-day SMA (current),414.5696118451325,401.65424669419656,-12.91536515093594,-29.332464614350407,-31.01467387469891,-1.682209260348504,16.931918656056588,383
